No,PROYECTO,CATEGORIA DE DEPARTAMENTO,CATEGORIA DE MUNICIPIO,REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO,LOCALIDAD/TRONCAL,CANTIDAD,NOMBRE ZONA WIFI,ID ZONA WIFI,DIRECCION,LONGITUD ,LATITUD,FECHA DE APROBACION,ESTADO DE LA ZONA,ZONA INAGURADA;
21,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PARQUE EL CARMEN,508806005,CARRERA 62 CON LA CALLE 57A,-75.566475,6.341505,18/04/2017,OPERATIVA,SI;
22,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,BARRIO FONTIDUEÑO,508806006,DIAGONAL 44 CON AV 33,-75.53844,6.33288,18/04/2017,OPERATIVA,SI;
23,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PARQUE EL MIRADOR,508806007,CRA. 49A #67-1,-75.558661,6.347294,18/04/2017,OPERATIVA,SI;
24,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,BARRIO LA GABRIELA,508806008,CALLE 31 CON CARRERA 43B,-75.551423,6.319415,18/04/2017,OPERATIVA,SI;
25,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PARQUE GRAN AVENIDA,508806009,CARRERA 57 CON CALLE 33,-75.56226,6.320573,18/04/2017,OPERATIVA,SI;
26,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PUERTA DEL NORTE NIQUIA,508806010,DIAGONAL 55 CON LA AVENIDA 35,-75.54418,6.339885,18/04/2017,OPERATIVA,SI;
27,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,UNICAF,508806011,DIAGONAL 65 CON AV 46 (UNICAF),-75.552728,6.346283,18/04/2017,OPERATIVA,SI;
28,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,PARQUE GORETTI,508806012,CRA. 63B #68A (PARQ GORETTI),-75.566408,6.348661,27/04/2017,OPERATIVA,SI;
29,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,SANTA RITA LA ESPERANZA,508806013,CRA 40C CON CALLE 21,-75.546986,6.30823,22/05/2017,OPERATIVA,SI;
30,ZONAS WIFI GRATIS PARA LA GENTE,ESP,1,Region Eje Cafetero - Antioquia,5,Antioquia,05088,Bello,N/A,1,POLIDEPORTIVO TULIO OSPINA,508806014,AV 42 CON DG 51,-75.547252,6.334386,26/05/2017,OPERATIVA,SI;
31,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05086,Belmira,N/A,1,PARQUE PRINCIPAL,508606001,CRA. 21 #19-2 (PARQUE PRINCIPAL,-75.666944,6.605833,02/06/2017,OPERATIVA,SI;
32,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05091,Betania,N/A,1,PARQUE PRINCIPAL,509106001,CRA 6 CON CALLE 14 (PARQUE PRINCIPAL),-75.976325,5.744966,02/06/2017,OPERATIVA,SI;
33,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05093,Betulia,N/A,1,PARQUE PRINCIPAL,509306001,CL. 20 CON 21 (PARQUE PRINCIPAL),-75.984583,6.11338,04/05/2017,OPERATIVA,SI;
34,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05107,Briceño,N/A,1,PARQUE PRINCIPAL,510706001,CARRERA 7 CON CALLE 5,-75.551794,7.110513,11/05/2017,OPERATIVA,SI;
35,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05113,Buriticá,N/A,1,PARQUE PRINCIPAL,511306001,CALLE 8 #3-56,-75.906688,6.719813,09/05/2017,OPERATIVA,SI;
36,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05120,Cáceres,N/A,1,PARQUE PRINCIPAL,512006001,CARRERA 50 CON CALLE #50,-75.347805,7.582297,11/05/2017,OPERATIVA,SI;
37,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05125,Caicedo,N/A,1,PARQUE PRINCIPAL,512506001,CL. 6 #4-2 (PARQUE PRINCIPAL CAICEDO),-75.9825,6.405833,25/05/2017,OPERATIVA,SI;
38,ZONAS WIFI GRATIS PARA LA GENTE,ESP,4,Region Eje Cafetero - Antioquia,5,Antioquia,05129,Caldas,N/A,1,PARQUE PRINCIPAL,512906001,CRA. 50 #129 SUR (PARQUE PRINCIPAL,-75.635686,6.091847,01/05/2017,OPERATIVA,SI;
"39,ZONAS WIFI GRATIS PARA LA GENTE,ESP,4,Region Eje Cafetero - Antioquia,5,Antioquia,05129,Caldas,N/A,1,""PARQUE HABITAD DEL SUR, BARRIO MANDALAY"",512906002,CR. 50 # 142A SUR,-75.635111,6.080555,07/05/2017,OPERATIVA,SI";
40,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05134,Campamento,N/A,1,PARQUE PRINCIPAL,513406001,CALLE 10 CON CARRERA 10,-75.296211,6.979058,25/05/2017,OPERATIVA,SI;
41,ZONAS WIFI GRATIS PARA LA GENTE,ESP,6,Region Eje Cafetero - Antioquia,5,Antioquia,05138,Cañasgordas,N/A,1,PARQUE PRINCIPAL,513806001,CL. 33 #30-1 (PARQUE PRINCIPAL CAÑASGORDAS),-76.025225,6.749725,02/06/2017,OPERATIVA,SI;
